"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.618258121E1,-1.493114382E-2,7.469350219E-2,-8.050504982E-2
3.628231221E1,2.685077973E-3,6.175536811E-2,-2.800173104E-2
3.638204321E1,-1.133993472E-2,8.395783067E-2,-4.457741797E-2
3.648177421E1,3.772998126E-3,6.305578887E-2,-4.668475449E-2
3.658150529E1,1.692303438E-2,3.738124967E-2,-1.742528737E-2
3.668123629E1,-2.898121275E-2,6.750610471E-2,-4.822549582E-2
3.678096729E1,9.802194661E-3,3.145977437E-2,-2.976759017E-2
3.688069829E1,-2.087809105E-2,5.351722598E-2,-3.125219822E-2
3.698042929E1,8.743789243E-3,4.711978734E-2,-2.736906230E-2
3.708016029E1,-7.285489091E-3,3.494939268E-2,-1.343865573E-2
3.717989129E1,-1.609473517E-2,4.214029849E-2,-1.494139016E-2
3.727962229E1,8.414294072E-3,2.390517175E-2,-4.099482894E-3
3.737935329E1,-2.799103246E-2,4.727824688E-2,-9.763095975E-3
3.747908429E1,-1.947449434E-2,4.065978348E-2,1.368716240E-2
3.757881567E1,-3.977293903E-2,1.840411127E-2,-7.879707813E-3
3.767854667E1,-1.020060018E-2,2.609963179E-2,-5.712144971E-3
