"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.932107110E2,4.546575200E1,-7.359608900E1,1.800000000E0,2.001188889E1,3.035000000E2,3.000000000E1,5.700000000E1
1.942004850E2,4.546586100E1,-7.359630600E1,2.300000000E0,2.083500000E1,3.065000000E2,3.000000000E1,5.700000000E1
1.952008209E2,4.546598000E1,-7.359652000E1,2.100000000E0,2.109222222E1,3.090000000E2,3.000000000E1,5.700000000E1
1.961833400E2,4.546611000E1,-7.359673600E1,2.600000000E0,2.222400000E1,3.114000000E2,3.000000000E1,5.700000000E1
1.971863060E2,4.546624700E1,-7.359694400E1,2.700000000E0,2.222400000E1,3.138000000E2,3.000000000E1,5.700000000E1
1.981836410E2,4.546639100E1,-7.359715100E1,3.100000000E0,2.278988889E1,3.155000000E2,3.000000000E1,5.700000000E1
1.991725379E2,4.546654000E1,-7.359735300E1,3.100000000E0,2.278988889E1,3.155000000E2,3.000000000E1,5.700000000E1
2.002694199E2,4.546670500E1,-7.359757200E1,3.200000000E0,2.278988889E1,3.173000000E2,3.000000000E1,5.700000000E1
2.012680570E2,4.546685800E1,-7.359777000E1,3.800000000E0,2.304711111E1,3.176000000E2,3.000000000E1,5.700000000E1
2.022513599E2,4.546701200E1,-7.359797000E1,4.300000000E0,2.304711111E1,3.177000000E2,3.000000000E1,5.700000000E1
2.032695670E2,4.546716500E1,-7.359816800E1,3.900000000E0,2.278988889E1,3.173000000E2,3.000000000E1,5.700000000E1
2.042462929E2,4.546731900E1,-7.359837100E1,3.600000000E0,2.330433333E1,3.171000000E2,3.000000000E1,5.700000000E1
